tmdb_id,title,original_title,original_language,release_year,release_date,runtime,status,genres,keywords,director,top_cast,tmdb_overview,tmdb_tagline,tmdb_vote_average,tmdb_vote_count,tmdb_popularity,budget,revenue,production_companies,production_countries,spoken_languages,homepage
19995,Avatar,Avatar,en,2009.0,2009-12-10,162.0,Released,"Action, Adventure, Fantasy, Science Fiction","culture clash, future, space war, space colony, society, space travel, futuristic, romance, space, alien, tribe, alien planet, cgi, marine, soldier",James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang, Michelle Rodriguez","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Enter the World of Pandora.,7.2,11800,150.437577,237000000.0,2787965087.0,"Ingenious Film Partners, Twentieth Century Fox Film Corporation, Dune Entertainment","United States of America, United Kingdom","English, Español",http://www.avatarmovie.com/
285,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,en,2007.0,2007-05-19,169.0,Released,"Adventure, Fantasy, Action","ocean, drug abuse, exotic island, east india trading company, love of one's life, traitor, shipwreck, strong woman, ship, alliance, calypso, afterlife, fighter, pirate, swashbuckler",Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley, Stellan Skarsgård, Chow Yun-fat","Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","At the end of the world, the adventure begins.",6.9,4500,139.082615,300000000.0,961000000.0,"Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions",United States of America,English,http://disney.go.com/disneypictures/pirates/
206647,Spectre,Spectre,en,2015.0,2015-10-26,148.0,Released,"Action, Adventure, Crime","spy, based on novel, secret agent, sequel, mi6, british secret service, united kingdom",Sam Mendes,"Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes, Monica Bellucci","A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",A Plan No One Escapes,6.3,4466,107.376788,245000000.0,880674609.0,"Columbia Pictures, Danjaq, B24","United Kingdom, United States of America","Français, English, Español, Italiano, Deutsch",http://www.sonypictures.com/movies/spectre/
49026,The Dark Knight Rises,The Dark Knight Rises,en,2012.0,2012-07-16,165.0,Released,"Action, Crime, Drama, Thriller","dc comics, crime fighter, terrorist, secret identity, burglar, hostage drama, time bomb, gotham city, vigilante, cover-up, superhero, villainess, tragic hero, terrorism, destruction",Christopher Nolan,"Christian Bale, Michael Caine, Gary Oldman, Anne Hathaway, Tom Hardy","Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",The Legend Ends,7.6,9106,112.31295,250000000.0,1084939099.0,"Legendary Pictures, Warner Bros., DC Entertainment",United States of America,English,http://www.thedarkknightrises.com/
49529,John Carter,John Carter,en,2012.0,2012-03-07,132.0,Released,"Action, Adventure, Science Fiction","based on novel, mars, medallion, space travel, princess, alien, steampunk, martian, escape, edgar rice burroughs, alien race, superhuman strength, mars civilization, sword and planet, 19th century",Andrew Stanton,"Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe, Thomas Haden Church","John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.","Lost in our world, found in another.",6.1,2124,43.926995,260000000.0,284139100.0,Walt Disney Pictures,United States of America,English,http://movies.disney.com/john-carter
559,Spider-Man 3,Spider-Man 3,en,2007.0,2007-05-01,139.0,Released,"Fantasy, Action, Adventure","dual identity, amnesia, sandstorm, love of one's life, forgiveness, spider, wretch, death of a friend, egomania, sand, narcism, hostility, marvel comic, sequel, superhero",Sam Raimi,"Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church, Topher Grace","The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",The battle within.,5.9,3576,115.699814,258000000.0,890871626.0,"Columbia Pictures, Laura Ziskin Productions, Marvel Enterprises",United States of America,"English, Français",http://www.sonypictures.com/movies/spider-man3/
38757,Tangled,Tangled,en,2010.0,2010-11-24,100.0,Released,"Animation, Family","hostage, magic, horse, fairy tale, musical, princess, animation, tower, blonde woman, selfishness, healing power, based on fairy tale, duringcreditsstinger, healing gift, animal sidekick",Byron Howard,"Zachary Levi, Mandy Moore, Donna Murphy, Ron Perlman, M.C. Gainey","When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",They're taking adventure to new lengths.,7.4,3330,48.681969,260000000.0,591794936.0,"Walt Disney Pictures, Walt Disney Animation Studios",United States of America,English,http://disney.go.com/disneypictures/tangled/
99861,Avengers: Age of Ultron,Avengers: Age of Ultron,en,2015.0,2015-04-22,141.0,Released,"Action, Adventure, Science Fiction","marvel comic, sequel, superhero, based on comic book, vision, superhero team, duringcreditsstinger, marvel cinematic universe, 3d",Joss Whedon,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson","When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",A New Age Has Come.,7.3,6767,134.279229,280000000.0,1405403694.0,"Marvel Studios, Prime Focus, Revolution Sun Studios",United States of America,English,http://marvel.com/movies/movie/193/avengers_age_of_ultron
767,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,en,2009.0,2009-07-07,153.0,Released,"Adventure, Fantasy, Family","witch, magic, broom, school of witchcraft, wizardry, apparition, teenage crush, werewolf",David Yates,"Daniel Radcliffe, Rupert Grint, Emma Watson, Tom Felton, Michael Gambon","As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",Dark Secrets Revealed,7.4,5293,98.885637,250000000.0,933959197.0,"Warner Bros., Heyday Films","United Kingdom, United States of America",English,http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html
209112,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,en,2016.0,2016-03-23,151.0,Released,"Action, Adventure, Fantasy","dc comics, vigilante, superhero, based on comic book, revenge, super powers, clark kent, bruce wayne, dc extended universe",Zack Snyder,"Ben Affleck, Henry Cavill, Gal Gadot, Amy Adams, Jesse Eisenberg","Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",Justice or revenge,5.7,7004,155.790452,250000000.0,873260194.0,"DC Comics, Atlas Entertainment, Warner Bros.",United States of America,English,http://www.batmanvsupermandawnofjustice.com/
